timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783443752277,838,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/PreLoginTokenSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-17,text,true,,2488,395,25,25,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/PreLoginTokenSS,838,0,351
1783443753116,106,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-17,text,true,,1214,1350,26,26,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,106,0,0
1783443753223,148,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/ValidateParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-17,text,true,,648,1615,27,27,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/ValidateParametersSS,148,0,0
1783443753371,16740,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-17,text,true,,933786,1366,195,195,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,155,0,0
1783443770112,117,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProductParameterSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-17,text,true,,2034,1379,196,196,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProductParameterSS,117,0,0
1783443765520,4843,01_01_Flip The Virtaul Card Then Click Toggle Button of Card Number,200,"Number of samples in transaction : 1, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-5,,true,,796,1634,197,197,null,0,0,0
1783443765520,4843,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardCVVDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-5,text,true,,796,1634,197,197,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardCVVDataSS,4843,0,0
1783443768964,2085,Select Virtual Card,200,"Number of samples in transaction : 10, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,,true,,14966,14097,204,204,null,0,2,0
1783443768965,146,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,615,1441,185,185,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,146,0,0
1783443769111,145,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,1357,1424,186,186,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,145,0,0
1783443769256,106,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,615,1441,187,187,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,106,0,0
1783443769363,274,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,1933,1414,190,190,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,274,0,0
1783443769637,592,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,2522,1375,196,196,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,592,0,0
1783443770229,217,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,833,1451,198,198,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,217,0,0
1783443770446,161,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,833,1451,200,200,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,161,0,0
1783443770607,169,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,1214,1350,202,202,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,169,0,0
1783443770776,124,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,2522,1375,203,203,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,124,0,0
1783443770900,151,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-42,text,true,,2522,1375,204,204,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,151,0,0
1783443764802,6441,01_01_Flip The Virtaul Card Then Click Toggle Button of Card Number,200,"Number of samples in transaction : 1, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-1,,true,,796,1634,206,206,null,0,0,0
1783443764802,6441,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardCVVDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-1,text,true,,796,1634,206,206,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardCVVDataSS,6441,0,0
1783443752177,19226,Launch BOC APP,200,"Number of samples in transaction : 5, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,,true,,940170,6105,208,208,null,0,7,245
1783443752178,406,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/PreLoginTokenSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,text,true,,2488,395,20,20,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/PreLoginTokenSS,406,0,245
1783443752585,496,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,text,true,,1214,1350,25,24,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,496,0,0
1783443753083,139,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/ValidateParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,text,true,,648,1615,26,26,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/ValidateParametersSS,139,0,0
1783443753223,18080,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,text,true,,933786,1366,207,207,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,136,0,0
1783443771305,105,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProductParameterSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-16,text,true,,2034,1379,208,208,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProductParameterSS,105,0,0
1783443769630,1881,Select Virtual Card,200,"Number of samples in transaction : 10, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,,true,,14930,14097,209,209,null,0,1,0
1783443769630,417,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,615,1441,194,194,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,417,0,0
1783443770047,176,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,1336,1424,196,196,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,176,0,0
1783443770224,138,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,615,1441,197,197,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,138,0,0
1783443770362,258,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,1933,1414,200,200,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,258,0,0
1783443770620,165,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,2519,1375,202,202,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,165,0,0
1783443770785,194,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,830,1451,204,204,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,194,0,0
1783443770979,158,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,830,1451,205,205,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,158,0,0
1783443771137,101,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,1214,1350,206,206,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,101,0,0
1783443771238,123,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-29,text,true,,2519,1375,207,207,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,123,0,0
